question,answer
Chuyển ngành cần tiêu chí nào?,"A. Các Điều Kiện Bắt Buộc Để Được Xét Chuyển Ngành
Theo Quy chế, bạn phải đồng thời đáp ứng TẤT CẢ các điều kiện sau đây:

1. Điều kiện về thời gian và tình trạng học tập:

KHÔNG đang là sinh viên năm thứ nhất hoặc sinh viên năm cuối khóa.

KHÔNG thuộc diện đang bị xem xét buộc thôi học.

Vẫn còn đủ thời gian học tập theo quy định (thời gian tối đa bằng 2 lần thời gian thiết kế của chương trình).

2. Điều kiện về đầu vào:

Bạn phải đạt điều kiện trúng tuyển của ngành muốn chuyển đến trong cùng khóa tuyển sinh mà bạn đã đậu vào trường.

Ví dụ: Bạn đỗ vào ngành A năm 2023 với điểm chuẩn là 25. Ngành B cùng khóa 2023 có điểm chuẩn là 26. Bạn phải có tổng điểm thi ĐH (theo thang điểm và tổ hợp xét tuyển của ngành B) từ 26 trở lên thì mới đủ điều kiện chuyển sang ngành B.

3. Điều kiện về năng lực đào tạo của ngành mới:

Ngành bạn muốn chuyển đến phải còn chỉ tiêu, có đủ các điều kiện bảo đảm chất lượng và chưa vượt quá năng lực đào tạo theo quy định.

4. Điều kiện về sự đồng ý:

Phải có sự đồng ý bằng văn bản của:

Trưởng Khoa quản lý ngành bạn đang học (nơi chuyển đi).

Trưởng Khoa quản lý ngành bạn muốn chuyển đến.

Hiệu trưởng Trường Đại học Khoa học.

B. Quy Trình & Thủ Tục Chuyển Ngành Cụ Thể
Bước 1: Chuẩn bị hồ sơ

Viết đơn xin chuyển ngành theo mẫu của trường.

Bước 2: Xin ý kiến và xác nhận

Nộp đơn để lấy ý kiến đồng ý của Khoa quản lý ngành bạn đang học.

Nộp đơn để lấy ý kiến đồng ý của Khoa quản lý ngành bạn muốn chuyển đến.

Bước 3: Nộp hồ sơ và chờ quyết định

Nộp đơn đã có xác nhận của hai khoa lên Phòng Đào tạo Đại học & Công tác Sinh viên.

Hiệu trưởng sẽ xem xét và ra quyết định cuối cùng.

Đối với sinh viên chính quy, Giám đốc Đại học Huế sẽ là người ban hành quyết định chính thức.

Đối với sinh viên vừa làm vừa học, Hiệu trưởng Trường Đại học Khoa học sẽ ban hành quyết định.

C. Vấn Đề Bảo Lưu Kết Quả Học Tập
Khi chuyển ngành, bạn có quyền đề nghị xem xét bảo lưu kết quả của những học phần đã học ở ngành cũ mà có nội dung, khối lượng kiến thức phù hợp với chương trình đào tạo của ngành mới.

Việc này do Hiệu trưởng quyết định trên cơ sở tư vấn của Hội đồng chuyển điểm của ngành đào tạo mới. Không phải tất cả các học phần đã học đều được công nhận.

Tóm tắt các bước thực tế bạn cần làm:
Tự đánh giá điều kiện: Kiểm tra xem mình có thuộc diện được chuyển ngành không (không phải năm 1, năm cuối) và điểm đầu vào của mình có đủ cho ngành mới mong muốn không.

Liên hệ với Phòng Đào tạo: Đây là bước quan trọng đầu tiên. Hãy đến Phòng Đào tạo Đại học & Công tác Sinh viên để:

Hỏi về danh sách các ngành được phép chuyển đến trong năm học đó.

Hỏi về chỉ tiêu tiếp nhận của ngành bạn muốn chuyển.

Lấy mẫu đơn và hướng dẫn cụ thể.

Gặp Khoa quản lý ngành mới: Tiếp xúc với Khoa quản lý ngành bạn muốn chuyển đến để tìm hiểu về chương trình đào tạo, cơ hội việc làm và xin ý kiến đồng ý.

Chuẩn bị và nộp hồ sơ: Hoàn tất đơn xin và xin chữ ký xác nhận từ Khoa cũ và Khoa mới, sau đó nộp về Phòng Đào tạo.

Theo dõi kết quả: Chờ quyết định chính thức từ Hiệu trưởng/Giám đốc Đại học Huế.

Lời khuyên: Bạn nên chủ động và thực hiện sớm, tốt nhất là vào cuối học kỳ hoặc đầu năm học để kịp thời gian xét duyệt và sắp xếp kế hoạch học tập mới. Việc chuyển ngành thành công phụ thuộc rất lớn vào sự đồng ý của Khoa tiếp nhận và điều kiện đầu vào của bạn."
Vắng bao nhiêu buổi thì bị cấm thi?," Quy Định Về Điểm Chuyên Cần & Điều Kiện Dự Thi
Theo Điều 30, Khoản 2c về đánh giá học phần thực hành, có một quy định rất rõ cho thấy tầm quan trọng của việc đi học đầy đủ:

""c) Đối với các học phần thực hành: sinh viên phải tham dự tất cả các bài thực hành có trong học phần. ... Trường hợp sinh viên không đủ điểm đánh giá các bài thực hành để tính điểm cuối cùng thì học phần đó bị điểm 0 (không) và sinh viên phải đăng ký học lại;""

Phân tích:

Đối với các học phần thực hành, thí nghiệm, nếu bạn vắng mặt và không có lý do chính đáng để được bố trí thực hành bù, bạn sẽ không có điểm đánh giá. Hệ quả là bạn không đủ điều kiện để có điểm học phần và coi như không thể thi (vì đã bị điểm 0 ngay từ đầu).

Đối với các học phần lý thuyết, quy chế không ghi rõ tỷ lệ vắng bao nhiêu thì bị cấm thi. Tuy nhiên, điểm chuyên cần là một trong những cột điểm thành phần của điểm quá trình. Nếu bạn vắng quá nhiều, điểm chuyên cần của bạn sẽ bằng 0 hoặc rất thấp, kéo theo điểm quá trình thấp và có nguy cơ trượt học phần.

2. Quyền Quyết Định Của Giảng Viên
Vì quy chế không quy định một con số cụ thể, nên tiêu chuẩn để được dự thi thường được quy định trong Đề cương chi tiết học phần do giảng viên phụ trách biên soạn và được Hiệu trưởng phê duyệt.

Bạn PHẢI kiểm tra Đề cương chi tiết học phần ngay từ đầu kỳ. Trong đó, mục ""Nội dung và phương pháp kiểm tra đánh giá"" sẽ ghi rõ:

Trọng số điểm chuyên cần.

Quy định về việc vắng mặt (ví dụ: vắng quá 20% tổng số buổi học sẽ không được dự thi, hoặc bị trừ bao nhiêu điểm vào điểm chuyên cần cho mỗi buổi vắng).

3. Trường Hợp Bị Cấm Thi Do Lý Do Hành Chính
Có một trường hợp bị cấm thi được quy định rõ tại Điều 31, Khoản 4:

""Sinh viên vắng mặt trong kỳ thi học phần, nếu không có lý do chính đáng hoặc sinh viên bị cấm thi do không đóng học phí đúng thời gian quy định coi như đã dự thi và phải nhận điểm 0 (không)...""

Vậy, không đóng học phí đúng hạn là một lý do rõ ràng để bị cấm thi.

Tóm tắt & Hướng Dẫn Thực Tế Cho Bạn:
Không có quy định chung: Không có con số chung cho tất cả các học phần về số buổi vắng dẫn đến cấm thi.

Kiểm tra Đề cương chi tiết: Đây là bước QUAN TRỌNG NHẤT. Hãy tìm và đọc kỹ Đề cương chi tiết của từng học phần để biết quy định cụ thể về chuyên cần.

Tuân thủ theo thông báo của Giảng viên: Giảng viên phụ trách học phần sẽ là người trực tiếp thông báo quy định về chuyên cần và điều kiện dự thi trong buổi học đầu tiên. Hãy lắng nghe và ghi chú cẩn thận.

Với học phần Thực hành: Phải tham dự đầy đủ. Vắng mặt không có lý do chính đáng đồng nghĩa với việc không đủ điều kiện thi.

Đóng học phí đúng hạn: Đảm bảo bạn đã hoàn thành học phí để không bị cấm thi vì lý do hành chính.

Lời khuyên: Hãy chủ động hỏi trực tiếp giảng viên phụ trách học phần hoặc trợ lý học tập của lớp về quy định chuyên cần và điều kiện dự thi để có thông tin chính xác nhất cho từng môn học. Đừng để đến sát kỳ thi mới phát hiện ra mình không đủ điều kiện."
Đăng ký học phần ở đâu và khi nào?,"1. ĐĂNG KÝ Ở ĐÂU?
Tất cả sinh viên (trừ một số trường hợp đặc biệt) sẽ đăng ký học phần trực tuyến thông qua:

Website Thông tin đào tạo đại học của Trường: http://ums.husc.edu.vn

Bạn sẽ sử dụng tài khoản cá nhân do trường cung cấp để đăng nhập và thực hiện đăng ký.

Ngoại lệ:

Sinh viên năm thứ nhất, học kỳ đầu tiên: KHÔNG phải tự đăng ký. Phòng Đào tạo sẽ tự động biên chế sinh viên vào các lớp học phần theo kế hoạch.

Sinh viên hệ vừa làm vừa học: Sẽ không đăng ký qua mạng. Phòng Đào tạo sẽ biên chế sinh viên vào danh sách lớp theo khóa - ngành.

2. ĐĂNG KÝ KHI NÀO?
Việc đăng ký học phần được thực hiện theo một lịch trình cố định hàng học kỳ, kéo dài 02 tuần và được chia làm 2 giai đoạn:

Giai đoạn 1: Tuần đăng ký chính thức

Thời gian: 01 tuần (thời gian cụ thể được công bố trong Sổ tay học vụ của từng học kỳ).

Công việc: Sinh viên đăng ký khối lượng học tập qua website ums.husc.edu.vn.

Giai đoạn 2: Tuần điều chỉnh đăng ký

Thời gian: 01 tuần ngay sau tuần đăng ký chính thức.

Công việc:

Sinh viên tiếp tục đăng ký bổ sung các lớp học phần còn chỗ.

Chỉ trong tuần này, bạn mới được nộp đơn (theo mẫu) lên Phòng Đào tạo Đại học & Công tác Sinh viên để đề nghị:

Chuyển lớp (nếu bị trùng lịch học).

Đăng ký vào lớp đã đầy (khi có sự đồng ý của Phòng Đào tạo).

Rút bớt học phần đã đăng ký."
Điều kiện mở lớp ghép cho sinh viên ít người học là gì?,Điều này sẽ tùy theo tình trạng của từng lớp học phần mà bạn đăng ký xem đã đủ sinh viên hay thiếu sinh không đạt chỉ tiêu mở lớp hay quá số lượng sinh viên quy định theo từng học phần.
Lịch đăng ký học phần bị lỗi hệ thống thì xử lý ra sao?,"Theo kinh nghiệm của mình thì bạn nên chờ trường khắc phục hoặc liên hệ trực tiếp như vào hỏi phòng đào tạo để biết chi tiết hơn các lỗi đăng kí , hủy học phần, bổ sung học phần....vv."
Học song ngành đăng ký ra sao?,"Quy trình đăng ký
Sau khi đảm bảo các điều kiện trên, bạn cần thực hiện các bước sau:

Chuẩn bị hồ sơ:

Đơn xin học chương trình thứ hai (theo mẫu của trường).

Bảng điểm kết quả học tập của chương trình thứ nhất (tính đến thời điểm đăng ký) để chứng minh điều kiện học lực.

Nộp hồ sơ: Gửi toàn bộ hồ sơ lên Hiệu trưởng để xem xét và quyết định.

Chờ quyết định: Hiệu trưởng sẽ ban hành Quyết định cho phép bạn học chương trình thứ hai nếu hồ sơ hợp lệ.

3. Những lưu ý quan trọng khi học song ngành
Thời gian tối đa: Thời gian tối đa được phép để hoàn thành cả hai chương trình bằng thời gian tối đa quy định cho chương trình thứ nhất.

Bảo lưu điểm: Bạn có thể được bảo lưu điểm của những học phần có nội dung tương đương trong chương trình thứ nhất. Việc này do Hiệu trưởng quyết định dựa trên tư vấn của Hội đồng chuyển điểm.

Điều kiện tốt nghiệp:

Bạn chỉ được xét tốt nghiệp chương trình thứ hai nếu đã có đủ điều kiện tốt nghiệp ở chương trình thứ nhất.

Bạn phải học chương trình thứ hai ít nhất 02 năm trước khi xét tốt nghiệp.

Học bổng và khen thưởng: Kết quả học tập ở chương trình thứ hai sẽ không được dùng để xét học bổng và các hình thức khen thưởng khác (trừ xét khen thưởng dựa trên kết quả tốt nghiệp).

Các chế độ khác: Bạn sẽ không được hưởng các chế độ miễn giảm học phí và các chính sách xã hội khác khi học chương trình thứ hai.

Tóm tắt các bước thực tế để bạn thực hiện:
Kiểm tra điều kiện: Đảm bảo bạn đã học hết năm nhất, có GPA đạt yêu cầu và ngành bạn muốn học có tuyển sinh.

Liên hệ Phòng Đào tạo: Đến Phòng Đào tạo Đại học & Công tác Sinh viên để được tư vấn cụ thể về ngành học, lấy mẫu đơn và hướng dẫn chi tiết nhất.

Chuẩn bị và nộp hồ sơ: Hoàn thiện đơn và bảng điểm, nộp về đúng nơi quy định.

Theo dõi kết quả: Chờ quyết định chính thức từ Hiệu trưởng.

Lời khuyên: Bạn nên trực tiếp liên hệ với Phòng Đào tạo Đại học & Công tác Sinh viên của trường để nhận được thông tin chính xác nhất về các ngành được phép đào ký học song ngành, thời gian nộp đơn cụ thể và được giải đáp mọi thắc mắc chi tiết.

Hy vọng thông tin này hữu ích với bạn! Chúc bạn sớm đăng ký thành công và hoàn thành tốt cả hai chương trình học."
Đăng ký thể chất ở đâu?,Để đăng kí học giáo dục thể chất bạn vui lòng theo dõi trên fanpage của Đại học thể chất đây là link: https://fpe.hueuni.edu.vn/index.php/vi  và link facebook:https://www.facebook.com/gdtcdhh.
Mình bị đình chỉ vì sử dụng tài liệu để gian lận thì có sao không?,Thì phải phải gì PHẢI CHỊUUUUU....ĐỪNG CÓ KÊU!!!
Nộp học phí thể chất ở đâu?,"Bạn truy cập vào link này nha: http://thuhocphifpe.hueuni.edu.vn/View/Login.aspx?ReturnUrl=%2fView%2fDashBoard.aspx .Sau đó bạn điền mã sinh viên, mật khẩu( cũng là mã sinh viên) sau đó đăng nhập, tiếp theo bạn vào mục Nộp học phí là sẽ ra các khoảng phí mà bạn cần nộp."
Có bao nhiêu học phần cần học ở trường thể chất?,"Cái này thì tùy từng kỳ học mà bạn đăng kí nhưng thông thường sẽ là 4 học phần gồm 2 bắt buộc và 2 tự chọn , nếu muốn biết kỹ hơn bạn thể vào trang thông tin của đại học thể chất huế á."
Trường mình có confessions không?,Có nha link face đây nha: https://www.facebook.com/KhoaHocHueConfessions
Học quân sự diễn ra như nào?,"Học quân sự sẽ diễn ra vào năm 2 tầm khoảng tháng 4 đến tháng 5 ( tùy vào thông báo), thời gian học kéo dài tầm 1 tháng và phải nộp lệ phí ăn uống theo quy định của khu quân sự, địa điểm: Khu quân sự Phú Bài 161 Nguyễn Khoa Văn, Huong Thuy, Vietnam."
Lệ phí tốt nghiệp là bao nhiêu?,Thông thường bạn phải nộp rơi vào khoảng 200.000 lệ phí tốt nghiệp
,
,
,
,
,0
